Date,Open,Close,High,Low,Volume
2021/06/07,492.92,494.66,496.7,490.55,2791932
2021/06/08,497,492.39,498.82,489.37,2374037
2021/06/09,494.5,485.81,496.09,484.65,3055029
2021/06/10,487.17,487.27,490.21,482.14,4382928
2021/06/11,490,488.77,491.41,487.78,3123969
2021/06/14,489.68,499.89,503.5,486.91,4400222
2021/06/15,501.23,491.9,501.23,490.4,3104073
2021/06/16,495,492.41,496.46,486.28,3533206
2021/06/17,490.25,498.34,501.8,490.15,3198273
2021/06/18,496.4,500.77,504.49,495.24,5197576
2021/06/21,501.64,497,502.05,492.28,5277297
2021/06/22,498.54,508.82,513.55,495.8,5809271
2021/06/23,508.48,512.74,516.63,508.2,3944782
2021/06/24,517.96,518.06,520.96,514.4,3361202
2021/06/25,528.84,527.07,533.06,525,5299072
2021/06/28,528.12,533.03,533.94,524.56,2820227
2021/06/29,533.55,533.5,536.13,528.57,2314647
2021/06/30,534.06,528.21,534.38,526.82,2773445
2021/07/01,525.72,533.54,537.04,525.72,2805402
2021/07/02,535.5,533.98,538.54,529.39,1980316
2021/07/06,533,541.64,542.86,533,2775051
2021/07/07,544.24,535.96,544.64,531.66,2722498
2021/07/08,530.93,530.76,535.5,529.09,3268988
2021/07/09,531,535.98,538.26,528.58,2777231
2021/07/12,540.3,537.31,540.65,532.92,1780738
2021/07/13,535.76,540.68,545.33,535.76,2751593
2021/07/14,541.01,547.95,554.1,541.01,4659535
2021/07/15,553.97,542.95,557.54,538.2,5713873
2021/07/16,541.81,530.31,544.06,527.05,3442101
2021/07/19,526.05,532.28,534.91,522.24,3885764
2021/07/20,526.07,531.05,536.64,520.3,6930440
2021/07/21,526.13,513.63,530.99,505.61,11906793
2021/07/22,510.21,511.77,513.68,507,4328061
2021/07/23,512.16,515.41,517.41,504.66,3820478
2021/07/26,514.38,516.49,521.13,509.01,2254538
2021/07/27,518.08,518.91,521.95,512.05,2759037
2021/07/28,521.82,519.3,524.47,516.98,2390466
2021/07/29,519.96,514.25,520.78,513.79,1736014
2021/07/30,512.69,517.57,519.79,510.96,2537107
2021/08/02,519,515.15,519.85,510.51,2096632
2021/08/03,514.39,510.82,515.63,505.37,2579427
2021/08/04,513,517.35,517.98,510.37,2039374
2021/08/05,517.13,524.89,525.41,514.02,2556687
2021/08/06,524,520.55,526.84,519.39,1919798
2021/08/09,521.15,519.97,522.67,517.99,1367782
2021/08/10,520,515.84,520.79,512.97,1960544
2021/08/11,517,512.4,519.57,509.77,1673904
2021/08/12,511.86,510.72,513,507.2,1686170
2021/08/13,512.64,515.92,521.44,511.51,2177736
